Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/Colorado/11/2014	3.20	4.07	3c2	USA	18.00	0.01	9.00		3.00	North America	Centers For Disease Control And Prevention	2014-04-13		EPI1107893	Colorado Department Of Health Lab
A/Stockholm/17/2013	3.20	4.07	3c2	Sweden	17.00	0.10	9.00		3.00	Europe	Swedish Institute For Infectious Disease Control	2013-09-03		EPI468675	Swedish Institute For Infectious Disease Control
A/Bangladesh/8011/2013	3.20	4.07	3c2.A	Bangladesh	18.00	0.08	10.00	1.00	4.00	South Asia	Centers For Disease Control And Prevention	2013-11-24		EPI508663	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Thailand/CU-B11351/2014	3.20	4.07	3c2.A	Thailand	18.00	0.00	11.00	2.00	4.00	Southeast Asia	Other Database Import	2014-12-01		EPI684862	
A/Thailand/CU-B10755/2014	3.20	4.44	3c2.A	Thailand	18.00	0.00	10.00	1.00	4.00	Southeast Asia	Other Database Import	2014-09-03		EPI684851	
A/Indonesia/Nihrd-Btm190/2016	3.20	4.44	3c2.A	Indonesia	18.00	0.00	11.00	2.00	4.00	Southeast Asia	Centers For Disease Control And Prevention	2016-01-23		EPI829890	Ministry Of Health, Nihrd
A/Kawasaki/52/2015	3.20	4.44	3c2.A	Japan	18.00	0.00	10.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-06-19		EPI670334	Kawasaki City Institute Of Public Health
A/Marseille/2180/2014	3.20	4.19	3c2.A	France	18.00	0.00	9.00		4.00	Europe	National Institute For Medical Research	2014-09-11		EPI557316	Crr Virus Influenza Region Sud
A/Sydney/117/2014	3.20	4.07	3c2.A	Australia	18.00	0.01	10.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2014-07-24		EPI551709	Clinical Virology Unit, Cdim
A/Kenya/125/2014	3.20	4.07	3c2.A	Kenya	18.00	0.00	9.00		4.00	Africa	Centers For Disease Control And Prevention	2014-08-21		EPI560636	Cdc Kenya
A/Kenya/122/2014	3.20	4.07	3c2.A	Kenya	19.00	0.00	9.00		4.00	Africa	Centers For Disease Control And Prevention	2014-08-25		EPI560755	Cdc Kenya
A/NewYork/4/2014	3.20	4.07	3c2.A	USA	18.00	0.04	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-01-25		EPI509986	New York State Department Of Health
A/Saitama/97/2014	3.20	4.07	3c2.A	Japan	18.00	0.00	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-09-19		EPI552580	Saitama Institute Of Public Health
A/Wisconsin/22/2014	3.20	4.07	3c2.A	USA	18.00	0.00	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-08-25		EPI543678	Wisconsin State Laboratory Of Hygiene
A/HongKong/5739/2014	3.20	4.07	3c2.A	Hong Kong	18.00	0.01	9.00		4.00	China	National Institute For Medical Research	2014-04-29		EPI539580	Government Virus Unit
A/HongKong/4801/2014	3.20	4.07	3c2.A	Hong Kong	18.00	0.03	9.00		4.00	China	Centers For Disease Control And Prevention	2014-02-26	2015-09-24	EPI834581	Crick Worldwide Influenza Centre
A/HongKong/4800/2014	3.20	4.07	3c2.A	Hong Kong	18.00	0.03	9.00		4.00	China	National Institute For Medical Research	2014-02-26		EPI539574	Government Virus Unit
A/SriLanka/62/2014	3.20	4.07	3c2.A	Sri Lanka	20.00	0.00	10.00	1.00	4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2014-11-15		EPI629852	Medical Research Institute
A/SriLanka/64/2014	3.20	4.07	3c2.A	Sri Lanka	20.00	0.00	9.00		4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2014-11-25		EPI629855	Medical Research Institute
A/SriLanka/1/2015	3.20	4.07	3c2.A	Sri Lanka	19.00	0.00	10.00		4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-01-02		EPI629843	Medical Research Institute
A/SriLanka/72/2014	3.20	4.07	3c2.A	Sri Lanka	19.00	0.00	11.00	1.00	4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2014-12-29		EPI629858	Medical Research Institute
A/Brisbane/100/2014	3.20	4.07	3c2.A	Australia	19.00	0.02	10.00	1.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2014-04-07		EPI541128	Queensland Health Scientific Services
A/Yokohama/138/2017	3.30	4.07	A4	Japan	23.00	0.00	11.00	1.00	4.00	Japan Korea	Centers For Disease Control And Prevention	2017-05-02		EPI1146077	Yokohama City Institute Of Public Health.
A/Niigata-C/44/2017	3.30	4.07	A4	Japan	23.00	0.00	11.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-05-07		EPI1057792	Niigata City Institute Of Public Health And Environment
A/Kanagawa/204/2017	3.30	4.18	A4	Japan	25.00	0.00	10.00	2.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-04-28		EPI1037862	Kanagawa Prefectural Institute Of Public Health
A/Sapporo/36/2017	3.30	4.07	A4	Japan	23.00	0.00	11.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-03-14		EPI1010341	Sapporo City Institute Of Public Health
A/Kalmar/1/2017	3.30	4.07	A4	Sweden	23.00	0.00	10.00		4.00	Europe	Public Health Agency Of Sweden	2017-04-30		EPI995807	
A/Singapore/TT0174/2017	3.30	4.07	A4	Singapore	24.00	0.00	10.00	1.00	4.00	Southeast Asia	Ministry Of Health, Singapore	2017-02-09		EPI957356	Ministry Of Health, Singapore
A/NewZealand/1102/2017	3.30	4.95	A4	New Zealand	22.00	0.00	12.00	1.00	3.00	Oceania	Centers For Disease Control And Prevention	2017-07-19		EPI1099754	Institute Of Environmental Science & Research
A/NewZealand/1419/2017	3.30	4.07	A4	New Zealand	23.00	0.00	11.00		4.00	Oceania	Centers For Disease Control And Prevention	2017-08-02		EPI1099989	Institute Of Environmental Science & Research
A/Singapore/TT0096/2017	3.31	4.07	A4	Singapore	23.00	0.00	10.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2017-01-26		EPI957225	Ministry Of Health, Singapore
A/Indonesia/Nihrd-Pal350/2017	3.31	4.07	A4	Indonesia	23.00	0.00	10.00		4.00	Southeast Asia	Centers For Disease Control And Prevention	2017-03-04		EPI1130171	Ministry Of Health, Nihrd
A/Tasmania/76/2017	3.31	4.07	A4	Australia	24.00	0.00	11.00	2.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2017-10-03		EPI1153035	Hobart Pathology
A/Bangladesh/1010/2017	3.31	4.07	A4	Bangladesh	23.00	0.00	10.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-04-25		EPI1026726	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/3003/2017	3.31	4.07	A4	Bangladesh	23.00	0.00	10.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-05-07		EPI1056936	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/2016/2017	3.31	4.07	A4	Bangladesh	23.00	0.00	10.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-03-12		EPI1017104	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Niigata-C/51/2017	3.31	4.07	A4	Japan	24.00	0.00	10.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-10-28		EPI1208958	Niigata City Institute Of Public Health And Environment
A/Qatar/10-VI-17-0020012/2017	3.31	4.07	A4	Qatar	23.00	0.00	10.00		4.00	West Asia	Crick Worldwide Influenza Centre	2017-04-26		EPI1145254	Supreme Health Council
A/Bangladesh/13/2017	3.31	4.07	A4	Bangladesh	23.00	0.00	10.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-06-11		EPI1107695	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/2006/2017	3.31	4.07	A4	Bangladesh	23.00	0.00	10.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-05-04		EPI1056960	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Sydney/20/2014	3.20	4.07	3c2.A	Australia	19.00	0.07	9.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2014-01-26		EPI540690	Westmead Hospital
A/Minnesota/4/2014	3.20	4.07	3c2.A	USA	19.00	0.04	9.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2014-03-10		EPI531723	Minnesota Department Of Health
A/Nebraska/2/2014	3.20	4.07	3c2.A	USA	19.00	0.06	9.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2014-02-13		EPI516680	Nebraska Public Health Lab
A/Kanagawa/159/2014	3.20	4.07	3c2.A	Japan	19.00	0.02	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-06-10		EPI540151	Kanagawa Prefectural Institute Of Public Health
A/Kanagawa/158/2014	3.20	4.07	3c2.A	Japan	19.00	0.02	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-05-31		EPI540149	Kanagawa Prefectural Institute Of Public Health
A/Maryland/5/2014	3.20	4.07	3c2.A	USA	18.00	0.07	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-01-20		EPI509957	Maryland Department Of Health And Mental Hygiene
A/Maryland/18/2014	3.20	4.07	3c2.A	USA	18.00	0.02	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-05-02		EPI540801	Maryland Department Of Health And Mental Hygiene
A/StPetersburg/80/2014	3.20	4.07	3c2.A	Russia	18.00	0.07	9.00		4.00	West Asia	National Institute For Medical Research	2014-04-14		EPI536380	Who National Influenza Centre Russian Federation
A/Santiago/68839/2014	3.20	4.07	3c2.A	Chile	18.00	0.01	10.00	1.00	4.00	South America	Centers For Disease Control And Prevention	2014-10-20		EPI560699	Instituto De Salud Publica De Chile
A/Paraguay/4413/2014	3.20	4.07	3c2.A	Paraguay	19.00	0.01	10.00	1.00	4.00	South America	Centers For Disease Control And Prevention	2014-12-04		EPI565694	Central Laboratory Of Public Health
A/SaoPaulo/9-134/2014	3.20	4.07	3c2.A	Brazil	19.00	0.01	9.00	1.00	4.00	South America	Instituto Adolfo Lutz	2014-12-15		EPI562787	Instituto Adolfo Lutz
A/Hawaii/47/2014	3.20	4.07	3c2.A	USA	18.00	0.06	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-07-18		EPI549053	State Of Hawaii Department Of Health
A/Nepal/401/2015	3.20	4.07	3c2.A	Nepal	19.00	0.01	10.00	1.00	4.00	South Asia	National Institute Of Infectious Diseases (niid)	2015-03-04		EPI715771	National Public Health Laboratory
A/Nepal/1261B/2014	3.20	4.07	3c2.A	Nepal	18.00	0.08	9.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-07-19		EPI578950	National Public Health Laboratory
A/Congo/560/2016	3.20	4.67	3c2.A	Congo	22.00	0.00	10.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2016-03-31		EPI841221	Inrb Service De Virologie
A/Tanzania/609/2014	3.20	4.07	3c2.A	Tanzania	19.00	0.02	10.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2014-12-12		EPI565820	National Influenza Lab
A/SriLanka/8/2015	3.20	4.07	3c2.A	Sri Lanka	19.00	0.01	9.00		4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-03-25		EPI652658	National Veterinary Institute
A/SriLanka/73/2014	3.20	4.07	3c2.A	Sri Lanka	20.00	0.03	10.00	3.00	4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2014-10-09		EPI629861	Medical Research Institute
A/Mozambique/IR454/2015	3.20	4.07	3c2.A	Mozambique	20.00	0.01	10.00	1.00	4.00	Africa	Crick Worldwide Influenza Centre	2015-02-09		EPI672403	Laboratório De Isolamento Viral
A/Mozambique/IR421/2015	3.20	4.07	3c2.A	Mozambique	19.00	0.01	10.00	1.00	4.00	Africa	Crick Worldwide Influenza Centre	2015-01-26		EPI672371	Laboratório De Isolamento Viral
A/SouthAfrica/R3989/2015	3.20	4.07	3c2.A	South Africa	20.00	0.00	9.00	1.00	4.00	Africa	Crick Worldwide Influenza Centre	2015-07-06		EPI630825	Sandringham, National Institute For Communicable D
A/SouthAfrica/4438/2015	3.20	4.07	3c2.A	South Africa	19.00	0.00	10.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2015-07-22		EPI709401	National Institute For Communicable Disease
A/Michigan/15/2014	3.20	4.19	3c2.A	USA	18.00	0.04	9.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2014-09-24		EPI841441	Michigan Department Of Community Health
A/Nepal/1337/2014	3.20	4.19	3c2.A	Nepal	18.00	0.06	8.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-08-07		EPI715767	National Public Health Laboratory
A/India/609/2015	3.20	4.19	3c2.A	India	18.00	0.01	8.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-02-21		EPI715417	National Institute Of Virology
A/India/27/2015	3.20	4.19	3c2.A	India	18.00	0.01	8.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-01-20		EPI715410	National Institute Of Virology
A/Cameroon/15V-2112/2015	3.20	4.07	3c2.A	Cameroon	18.00	0.01	10.00		4.00	Africa	Other Database Import	2015-03-09		EPI1074881	
A/Oman/4940/2015	3.20	4.07	3c2.A	Oman	19.00	0.00	11.00	2.00	4.00	West Asia	Crick Worldwide Influenza Centre	2015-10-28		EPI731229	Central Public Health Laboratory, Ministry Of Health
A/Kazakhstan/352/2015	3.20	4.07	3c2.A	Kazakhstan	18.00	0.01	10.00		4.00	West Asia	Centers For Disease Control And Prevention	2015-02-14		EPI626445	Csee
A/Istanbul/1628/2014	3.20	4.07	3c2.A	Turkey	18.00	0.02	10.00		4.00	West Asia	Crick Worldwide Influenza Centre	2014-11-04		EPI589735	Refik Saydam National Public Health Agency
A/Finland/463/2014	3.20	4.07	3c2.A	Finland	18.00	0.02	10.00	2.00	4.00	Europe	National Institute For Health And Welfare	2014-11-20		EPI557062	National Institute For Health And Welfare
A/Gifu/47/2014	3.20	4.07	3c2.A	Japan	18.00	0.04	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-09-09		EPI552558	Gifu Prefectural Institute Of Health And Environmental Sciences
A/NewJersey/26/2014	3.20	4.07	3c2.A	USA	19.00	0.02	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-11-17		EPI552913	New Jersey Department Of Health & Senior Services
A/Guatemala/15/2015	3.20	4.29	3c2.A	Guatemala	18.00	0.00	11.00	2.00	4.00	North America	Centers For Disease Control And Prevention	2015-05-03		EPI649442	Laboratorio Nacional De Salud Guatemala
A/Stavropol/7/2015	3.20	4.07	3c2.A	Russia	20.00	0.00	10.00		4.00	West Asia	Crick Worldwide Influenza Centre	2015-12-15		EPI704228	State Research Center Of Virology And Biotechnology Vector
A/SaudiArabia/26/2015	3.20	4.07	3c2.A	Saudi Arabia	20.00	0.00	10.00		4.00	West Asia	Other Database Import	2015-09-25		EPI966151	
A/Mali/19HGT/2015	3.20	4.07	3c2.A	Mali	19.00	0.00	10.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2015-04-20		EPI709248	Nic Lab Cvd Mali
A/Mali/67CS/2015	3.20	4.07	3c2.A	Mali	19.00	0.00	9.00		4.00	Africa	Centers For Disease Control And Prevention	2015-04-27		EPI709280	Nic Lab Cvd Mali
A/Mali/202CH/2015	3.20	4.07	3c2.A	Mali	19.00	0.00	10.00	2.00	4.00	Africa	Centers For Disease Control And Prevention	2015-09-21		EPI695910	Nic Lab Cvd Mali
A/Mali/174CI/2015	3.20	4.07	3c2.A	Mali	19.00	0.00	9.00		4.00	Africa	Centers For Disease Control And Prevention	2015-06-23		EPI710265	Nic Lab Cvd Mali
A/Mali/11MOP/2015	3.20	4.07	3c2.A	Mali	19.00	0.00	9.00		4.00	Africa	Centers For Disease Control And Prevention	2015-06-01		EPI710225	Nic Lab Cvd Mali
A/Philippines/2/2015	3.20	4.07	3c2.A	Philippines	18.00	0.01	9.00		4.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-02-11		EPI636141	Research Institute Of Tropical Medicine
A/Wisconsin/52/2014	3.20	4.07	3c2.A	USA	18.00	0.02	9.00		4.00	North America	Centers For Disease Control And Prevention	2014-12-02		EPI556190	Marshfield Clinic Research Foundation
A/Hawaii/14/2015	3.20	4.42	3c2.A	USA	19.00	0.01	10.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2015-02-17		EPI629729	State Of Hawaii Department Of Health
A/Oita/22/2014	3.20	4.07	3c2.A	Japan	18.00	0.03	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-10-24		EPI555002	Oita Prefectural Institute Of Health And Environment
A/Michigan/4/2015	3.20	4.07	3c2.A	USA	18.00	0.01	9.00		4.00	North America	Centers For Disease Control And Prevention	2015-01-06		EPI572134	Michigan Department Of Community Health
A/Moscow/CRIE-145/2015	3.20	4.07	3c2.A	Russia	19.00	0.00	10.00	1.00	4.00	West Asia	Central Research Institute For Epidemiology	2015-04-10		EPI638295	
A/Lao/439/2015	3.20	4.07	3c2.A	Laos	18.00	0.00	9.00		4.00	Southeast Asia	Centers For Disease Control And Prevention	2015-10-07		EPI730991	National Center For Laboratory And Epidemiology
A/Jordan/30226/2015	3.20	4.88	3c2.A	Jordan	17.00	0.00	9.00	1.00	4.00	West Asia	Crick Worldwide Influenza Centre	2015-04-14		EPI672333	Laboratory Directorate
A/Petrozavodsk/CRIE-63/2015	3.20	4.07	3c2.A	Russia	18.00	0.01	9.00		4.00	West Asia	Central Research Institute For Epidemiology	2015-03-03		EPI623826	
A/Victoria/5/2015	3.20	4.07	3c2.A	Australia	18.00	0.00	11.00	2.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2015-04-29		EPI652727	Victorian Infectious Diseases Reference Laboratory
A/Victoria/639/2015	3.20	4.07	3c2.A	Australia	18.00	0.00	10.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2015-09-24		EPI675588	Monash Medical Centre
A/SouthAustralia/1019/2015	3.20	4.07	3c2.A	Australia	18.00	0.00	10.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2015-08-21		EPI675981	Institute Of Medical And Veterinary Science (imvs)
A/Victoria/73/2015	3.20	4.07	3c2.A	Australia	18.00	0.00	10.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2015-09-21		EPI750796	Victorian Infectious Diseases Reference Laboratory
A/Brisbane/6/2016	3.20	4.19	3c2.A	Australia	19.00	0.00	9.00	1.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2016-01-05		EPI765205	Queensland Health Scientific Services
A/Shimane/94/2014	3.20	4.07	3c2.A	Japan	19.00	0.06	9.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-08-30		EPI553269	Shimane Prefectural Institute Of Public Health And Environmental Science
A/Singapore/EN017/2015	3.33	4.11	3c2.A	Singapore	18.00	0.01	10.00	1.00	4.00	Southeast Asia	Ministry Of Health, Singapore	2015-01-12		EPI727546	Ministry Of Health, Singapore
A/England/45180230/2014	3.33	4.07	3c2.A	Australia	18.00	0.02	9.00		4.00	Oceania	Microbiology Services Colindale, Public Health England	2014-12-11		EPI626659	Microbiology Services Colindale, Public Health England
A/England/45200047/2014	3.33	4.07	3c2.A	Australia	18.00	0.02	9.00		4.00	Oceania	Microbiology Services Colindale, Public Health England	2014-12-18		EPI611762	Microbiology Services Colindale, Public Health England
A/Chanthaburi/13/2015	3.33	4.07	3c2.A	Thailand	18.00	0.01	9.00		4.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-03-19		EPI652263	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Mali/22SIK/2015	3.33	4.07	3c2.A	Mali	18.00	0.00	9.00		4.00	Africa	Centers For Disease Control And Prevention	2015-08-26		EPI688653	Nic Lab Cvd Mali
A/Nonthaburi/5/2015	3.33	4.07	3c2.A	Thailand	19.00	0.01	9.00		4.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-02-06		EPI652260	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/SouthAfrica/3663/2015	3.33	4.07	3c2.A	South Africa	18.00	0.00	9.00		4.00	Africa	Who Collaborating Centre For Reference And Research On Influenza	2015-06-14		EPI676325	National Institute For Communicable Disease
A/FrenchGuiana/9189/2015	3.90	4.22	3c2.A	French Guiana	20.00	0.00	9.00		4.00	South America	Centers For Disease Control And Prevention	2015-06-27		EPI670676	National Influenza Center French Guiana And French Indies
A/Mali/110CH/2015	3.90	4.22	3c2.A	Mali	19.00	0.01	9.00		4.00	Africa	Centers For Disease Control And Prevention	2015-05-13		EPI709232	Nic Lab Cvd Mali
A/Nagano/2095/2015	3.90	4.22	3c2.A	Japan	20.00	0.02	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-02-02		EPI576150	Nagano Environmental Conservation Research Institute
A/Chanthaburi/594/2015	3.90	4.22	3c2.A	Thailand	21.00	0.00	10.00	2.00	4.00	Southeast Asia	Centers For Disease Control And Prevention	2015-11-20		EPI746900	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Nagano/2175/2015	3.90	4.22	3c2.A	Japan	20.00	0.01	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-03-02		EPI619036	Nagano Environmental Conservation Research Institute
A/Wisconsin/20/2015	3.90	4.50	3c2.A	USA	20.00	0.01	9.00		4.00	North America	Centers For Disease Control And Prevention	2015-02-24		EPI579796	Centers For Disease Control And Prevention
A/NewZealand/686/2015	3.90	4.22	3c2.A	New Zealand	20.00	0.00	9.00		4.00	Oceania	Centers For Disease Control And Prevention	2015-06-04		EPI649699	Institute Of Environmental Science & Research
A/Ibaraki/55/2015	3.90	4.22	3c2.A	Japan	20.00	0.00	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-09-02		EPI670307	Ibaraki Prefectural Institute Of Public Health
A/NewZealand/532/2015	3.90	4.22	3c2.A	New Zealand	20.00	0.00	9.00		4.00	Oceania	Centers For Disease Control And Prevention	2015-07-02		EPI649715	Institute Of Environmental Science & Research
A/Hyogo/1042/2015	3.90	4.22	3c2.A	Japan	20.00	0.00	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-09-02		EPI673564	Hyogo Prefectural Institute Of Public Health And Consumer Sciences
A/Sendai-H/N280/2015	3.90	4.22	3c2.A	Japan	20.00	0.00	9.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-07-23		EPI643110	Virus Research Center, Sendai Medical Center
A/Nebraska/19/2015	3.90	4.98	3c2.A	USA	22.00	0.00	9.00	2.00	4.00	North America	Centers For Disease Control And Prevention	2015-10-23		EPI686143	Nebraska Public Health Lab
A/Uganda/215/2017	4.86	4.22	3c2.A	Uganda	21.00	0.00	10.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2017-01-22		EPI955822	Uganda Virus Research Institute (uvri), National Influenza Center
A/Kilifi/92/2015	4.86	4.22	3c2.A	Kenya	21.00	0.00	9.00		4.00	Africa	Kemri Wellcome Trust Research Programme (kwtrp)	2015-12-14		EPI1603430	Kemri Wellcome Trust Research Programme Cgmrc
A/Kenya/114/2016	4.86	4.22	3c2.A	Kenya	22.00	0.00	10.00	3.00	4.00	Africa	Centers For Disease Control And Prevention	2016-10-18		EPI924824	Cdc Kenya
A/Kilifi/105/2016	4.86	4.22	3c2.A	Kenya	21.00	0.00	10.00	1.00	4.00	Africa	Kemri Wellcome Trust Research Programme (kwtrp)	2016-03-02		EPI1604298	Kemri Wellcome Trust Research Programme Cgmrc
A/Cambodia/1290/2015	3.90	4.22	3c2.A	Cambodia	21.00	0.00	10.00	2.00	4.00	Southeast Asia	Centers For Disease Control And Prevention	2015-12-03		EPI727337	National Public Health Laboratory
A/Uppsala/7/2015	3.90	4.22	3c2.A	Sweden	20.00	0.00	9.00		4.00	Europe	Swedish Institute For Infectious Disease Control	2015-10-30		EPI686924	
A/Gunma/9/2015	3.90	4.22	3c2.A	Japan	20.00	0.00	10.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-10-16		EPI717512	Gunma Prefectural Institute Of Public Health And Environmental Sciences
A/Temuco/50233/2016	3.90	4.22	3c2.A	Chile	20.00	0.00	11.00	2.00	4.00	South America	Centers For Disease Control And Prevention	2016-07-14		EPI827198	Instituto De Salud Publica De Chile
A/Sapporo/71/2015	3.90	4.22	3c2.A	Japan	20.00	0.00	10.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-12-15		EPI706697	Sapporo City Institute Of Public Health
A/HongKong/15607/2015	3.90	4.22	3c2.A	Hong Kong	20.00	0.00	9.00		4.00	China	Centers For Disease Control And Prevention	2015-10-14		EPI679463	Government Virus Unit
A/Guatemala/6415/2015	3.90	4.22	3c2.A	Guatemala	22.00	0.00	9.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2015-07-01		EPI670699	Laboratorio Nacional De Salud Guatemala
A/Cambodia/Z0722380/2015	3.90	4.22	3c2.A	Cambodia	21.00	0.00	10.00	1.00	4.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-07-14		EPI652604	Institute Pasteur Du Cambodia
A/Cambodia/Z0727326/2015	3.90	4.50	3c2.A	Cambodia	21.00	0.00	10.00	1.00	4.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2015-06-25		EPI652574	Institute Pasteur Du Cambodia
A/Bangladesh/202004/2015	3.90	4.22	3c2.A	Bangladesh	21.00	0.00	9.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-12-03		EPI702024	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/803003/2015	3.90	4.22	3c2.A	Bangladesh	21.00	0.00	9.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-08-10		EPI670926	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Norway/2565/2015	3.90	4.22	3c2.A	Norway	21.00	0.00	9.00		4.00	Europe	Norwegian Institute Of Public Health	2015-07-05		EPI629040	Who National Influenza Centre
A/Kyiv/711/2016	3.90	4.22	3c2.A	Ukraine	21.00	0.00	9.00		4.00	Europe	Centers For Disease Control And Prevention	2016-04-02		EPI775571	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Bangladesh/203006/2015	3.90	4.22	3c2.A	Bangladesh	21.00	0.00	9.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-12-03		EPI701817	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/3400/2015	3.90	4.22	3c2.A	Bangladesh	21.00	0.00	9.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-05-25		EPI643999	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/13004/2015	3.90	4.22	3c2.A	Bangladesh	21.00	0.00	9.00		4.00	South Asia	Centers For Disease Control And Prevention	2015-11-07		EPI701940	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Austria/904652/2016	3.90	4.22	3c2.A	Austria	22.00	0.00	9.00		4.00	Europe	Medical University Vienna	2016-02-17		EPI733259	Department Of Virology, Medical University Vienna
